placekey,location_name,lat,lng,id_num
222-222@63t-yyn-jjv,Burger King,42.2507,-83.6636,138
229-223@627-s22-psq,Burger King,40.7124,-73.7841,139
222-222@5s6-vw4-dgk,Burger King,42.9908,-83.6532,140
224-222@8gg-w42-swk,Burger King,34.53,-82.6618,141
zzy-223@8dy-gs7-789,Burger King,30.1989,-92.0559,142
225-222@5pw-6fd-tjv,Burger King,41.8256,-87.6858,143
222-222@8g6-yn2-7yv,Burger King,33.828,-84.3301,144
226-222@63s-cyk-s5z,Burger King,40.1404,-75.3869,145
222-222@8dy-r9d-7yv,Burger King,29.8955,-90.0893,146
223-222@5pm-h77-vpv,Burger King,34.7399,-86.5999,147
222-222@5s5-nrn-47q,Burger King,42.7311,-84.4679,148
223-222@5px-7c7-b49,Burger King,38.2883,-85.7291,149
223-222@5sb-b66-75z,Burger King,41.9313,-88.7703,150
zzw-222@5s5-k98-k2k,Burger King,42.2612,-85.5894,151
228-222@8fc-fg4-jy9,Burger King,29.8027,-95.4874,152
224-222@5pv-yfd-7bk,Burger King,41.5698,-87.5092,153
225-222@5sb-d2q-nbk,Burger King,42.088,-87.7983,154
223-222@5s6-vwy-789,Burger King,43.0037,-83.7335,155
225-222@5s5-pfj-tn5,Burger King,43.0339,-85.6217,156
22j-222@628-pkz-54v,Burger King,39.8709,-75.0813,157
227-222@5s8-c98-4gk,Burger King,44.9776,-93.065,158
223-222@63s-fzf-jsq,Burger King,40.3038,-75.8562,159
222-222@63h-j7k-p7q,Burger King,39.7039,-84.1409,160
223-222@8f2-d55-gp9,Burger King,32.5163,-93.7161,161
224-222@8dy-rf6-y7q,Burger King,29.956,-90.12,162
222-222@5q9-bc9-7dv,Burger King,39.6275,-104.988,163
223-222@5s7-63f-mhq,Burger King,43.2343,-86.2083,164
224-222@5qv-v8f-89z,Burger King,32.8364,-96.7745,165
229-222@5sb-8dg-cnq,Burger King,41.9303,-87.8793,166
223-222@8gn-nkd-nyv,Burger King,32.3595,-86.2866,167
zzw-222@8gj-6tm-bx5,Burger King,30.8545,-83.2806,168
22q-222@627-y6x-rrk,Burger King,40.6858,-73.3451,169
223-222@63v-bc6-wff,Burger King,41.3816,-81.7817,170
224-222@63r-vdc-mhq,Burger King,38.8875,-77.179,171
228-222@63v-46j-52k,Burger King,42.505,-83.0899,172
223-222@8g9-xny-pn5,Burger King,35.9546,-83.9371,173
223-222@8gd-q2p-9fz,Burger King,32.0705,-81.1011,174
244-222@628-fxw-rrk,Burger King,40.6293,-75.4847,175
zzw-223@63s-dtb-btv,Burger King,39.9178,-75.331,176
223-222@5s6-2xh-xqz,Burger King,42.0796,-86.4364,177
22d-222@5s5-pfb-tqf,Burger King,42.9857,-85.6982,178
zzw-224@63v-4cc-nnq,Burger King,42.427,-83.3342,179
223-222@5pw-67j-8jv,Burger King,41.9097,-87.7495,180
zzw-222@8g6-tpb-2hq,Burger King,32.8079,-83.6632,181
22b-222@628-bv2-92k,Burger King,40.6432,-75.3462,182
zzy-222@8gg-t3f-z2k,Burger King,34.8816,-82.3518,183
222-222@63f-kv6-9zz,Burger King,35.7937,-78.6853,184
229-222@63v-6kw-kvf,Burger King,41.4387,-81.8718,185
223-222@63g-wvy-y7q,Burger King,37.2493,-79.9561,186
223-222@8fc-8d9-73q,Burger King,29.7372,-95.3076,187
224-222@62k-p74-mff,Burger King,42.2446,-70.9391,188
225-222@5s6-vw5-wc5,Burger King,43.0331,-83.6343,189
zzw-222@63r-b8v-ks5,Burger King,39.1712,-76.6201,190
zzw-222@63j-wzx-mkz,Burger King,39.9554,-82.8783,191
228-222@8dy-qv9-cnq,Burger King,29.9374,-90.0764,192
223-222@8g8-7q6-8sq,Burger King,32.4848,-84.9364,193
226-222@63s-cyk-s5z,Burger King,40.1504,-75.3086,194
223-222@8fc-fbj-45f,Burger King,29.727,-95.4184,195
228-222@63v-6j3-2p9,Burger King,41.4196,-81.9135,196
228-222@62j-sh7-grk,Burger King,42.3613,-71.2393,197
zzw-222@63h-x9g-kcq,Burger King,39.954,-83.0981,198
222-222@8f3-ftb-zvf,Burger King,30.6396,-88.1375,199
zzw-222@8dy-qvj-brk,Burger King,30.0235,-90.0616,200
222-222@63j-rnw-2kz,Burger King,41.6035,-83.626,201
224-222@8fc-ff6-s5z,Burger King,29.7941,-95.5435,202
225-222@8fc-9nn-7bk,Burger King,29.8286,-95.3755,203
223-222@5pw-2s3-r49,Burger King,41.7048,-87.7401,204
224-222@627-shq-rp9,Burger King,40.809,-73.6293,205
222-222@5pk-ntv-99f,Burger King,38.7935,-90.3426,206
224-222@63r-6vb-nkf,Burger King,39.0297,-76.9146,207
224-222@5q9-bnp-xqz,Burger King,39.74,-105.116,208
223-222@63j-xds-qmk,Burger King,39.8926,-82.9961,209
zzw-222@5pw-6b7-mkz,Burger King,42.017,-87.8428,210
224-222@63t-qxh-hh5,Burger King,41.212,-80.7559,211
222-222@63j-xc2-gkz,Burger King,40.032,-83.0008,212
225-222@65z-3s6-q4v,Burger King,43.114,-76.1462,213
228-222@63g-7m4-w49,Burger King,36.0171,-78.912,214
224-222@5s5-hms-5s5,Burger King,42.3032,-85.1993,215
228-222@63v-bn9-m8v,Burger King,41.6426,-81.4681,216
226-222@5p2-2jj-gc5,Burger King,41.235,-96.0528,217
zzw-222@627-ryy-3qz,Burger King,40.742,-73.6613,218
zzw-222@5qv-x4v-nh5,Burger King,32.9098,-96.8565,219
227-222@5s5-pfz-99f,Burger King,42.9127,-85.6507,220
zzw-222@63v-4h7-fzz,Burger King,42.3693,-83.3215,221
222-222@63f-wq3-cnq,Burger King,37.2904,-79.9887,222
223-222@5q6-78b-h5z,Burger King,40.0181,-105.258,223
222-222@63v-c96-k4v,Burger King,41.04,-81.4911,224
zzw-222@63t-yvp-7kf,Burger King,42.2528,-83.1943,225
222-222@5px-7dr-bzf,Burger King,38.2526,-85.6506,226
zzw-222@5sb-d4p-bx5,Burger King,42.1543,-87.8033,227
223-222@628-pzv-zxq,Burger King,40.1519,-75.002,228
