unique_id,location_name,lat,lng
359,Burger King,39.9756,-74.1578
360,Burger King,29.6691,-95.3566
361,Burger King,42.3777,-71.0898
362,Burger King,40.4056,-74.2328
363,Burger King,41.5202,-81.454
364,Burger King,42.4086,-83.2766
365,Burger King,35.0432,-78.9581
366,Burger King,39.7318,-82.6161
367,Burger King,39.7438,-84.1195
368,Burger King,41.6522,-70.2894
369,Burger King,40.0289,-82.4414
370,Burger King,38.1499,-85.8374
371,Burger King,42.5568,-70.8806
372,Burger King,38.6871,-90.3606
373,Burger King,40.6747,-73.4866
374,Burger King,42.7364,-73.762
375,Burger King,39.97,-82.01
376,Burger King,40.5097,-81.4518
377,Burger King,42.3352,-72.6364
378,Burger King,41.0644,-81.5708
379,Burger King,41.4502,-82.2025
380,Burger King,40.7256,-73.2384
381,Burger King,39.7964,-75.4657
382,Burger King,38.0471,-84.55
383,Burger King,33.8729,-118.119
384,Burger King,32.6052,-85.4801
385,Burger King,33.8375,-118.37100000000001
386,Burger King,39.2856,-76.5067
387,Burger King,38.7249,-90.1229
388,Burger King,40.3387,-76.4474
389,Burger King,41.4194,-81.6927
390,Burger King,39.743,-84.1827
391,Burger King,30.4025,-88.9352
392,Burger King,41.013000000000005,-81.6022
393,Burger King,42.2554,-83.1392
394,Burger King,40.7209,-74.2679
395,Burger King,32.5232,-92.0982
396,Burger King,41.5493,-87.2405
397,Burger King,42.5886,-83.0303
398,Burger King,33.8259,-117.941
399,Burger King,42.4498,-83.0018
400,Burger King,41.7734,-72.54
401,Burger King,38.981,-76.5275
402,Burger King,33.9573,-118.039
403,Burger King,33.8999,-118.352
404,Burger King,32.8201,-117.17299999999999
405,Burger King,33.9927,-118.443
406,Burger King,42.2755,-83.7777
407,Burger King,34.1,-118.074
408,Burger King,42.5216,-83.1894
409,Burger King,35.9324,-79.0249
410,Burger King,42.9285,-78.7539
411,Burger King,32.9514,-96.89
412,Burger King,35.7312,-78.6503
413,Burger King,35.8207,-78.6274
414,Burger King,32.8638,-96.6829
415,Burger King,42.6395,-83.3538
416,Burger King,40.7369,-73.7098
417,Burger King,45.1998,-93.3935
418,Burger King,40.6581,-73.6084
419,Burger King,42.4796,-83.149
420,Burger King,45.5532,-94.1977
421,Burger King,42.9026,-78.6967
422,Burger King,42.4075,-82.9255
423,Burger King,35.942,-80.0339
424,Burger King,45.0056,-93.1666
425,Burger King,40.6896,-73.4084
426,Burger King,40.8594,-73.077
427,Burger King,43.0607,-83.7269
428,Burger King,40.9342,-72.6715
429,Burger King,32.6779,-117.098
430,Burger King,32.8072,-96.6836
431,Burger King,40.8271,-73.1026
432,Burger King,39.6529,-104.93
433,Burger King,33.5224,-84.3631
434,Burger King,40.6666,-73.704
435,Burger King,42.4733,-82.9048
436,Burger King,42.9785,-78.7438
437,Burger King,40.6539,-73.5583
438,Burger King,44.972,-93.365
439,Burger King,41.2762,-72.8356
440,Burger King,41.2598,-95.9819
441,Burger King,41.2628,-96.09
442,Burger King,42.0825,-79.2298
443,Burger King,42.3596,-72.5662
444,Burger King,42.5824,-71.7748
445,Burger King,45.0051,-93.2472
446,Burger King,32.5841,-117.109
447,Burger King,40.7776,-73.5657
448,Burger King,42.2381,-83.2692
449,Burger King,32.7854,-116.971
450,Burger King,40.7879,-73.2161
451,Burger King,40.8104,-73.5049
452,Burger King,33.2014,-117.37
453,Burger King,29.6489,-95.5658
454,Burger King,34.7606,-84.9961
455,Burger King,32.6949,-96.89399999999999
456,Burger King,41.2151,-73.7198
457,Burger King,33.9629,-84.007
458,Burger King,36.0698,-79.8689
459,Burger King,29.8634,-95.473
460,Burger King,38.7294,-90.3847
461,Burger King,32.7521,-117.204
462,Burger King,41.003,-73.8134
463,Burger King,42.9924,-78.6967
464,Burger King,40.6533,-73.9189
465,Burger King,42.3322,-83.1765
466,Burger King,42.743,-71.1528
467,Burger King,33.7108,-84.2716
468,Burger King,40.8769,-73.8462
469,Burger King,41.7666,-72.7092
470,Burger King,35.9255,-79.9838
471,Burger King,42.5117,-83.3591
472,Burger King,40.8953,-73.8566
473,Burger King,42.8037,-78.7516
474,Burger King,29.8023,-95.3613
475,Burger King,40.8559,-73.8678
476,Burger King,40.6955,-73.5071
477,Burger King,33.1199,-96.1095
478,Burger King,33.0419,-97.021
479,Burger King,36.0668,-79.429
480,Burger King,40.6399,-73.6947
481,Burger King,35.8202,-78.5926
482,Burger King,33.9192,-84.3807
483,Burger King,38.5928,-89.9789
484,Burger King,44.732,-93.2181
485,Burger King,40.5847,-74.1684
486,Burger King,33.8622,-84.5973
487,Burger King,43.0168,-78.7671
488,Burger King,40.5431,-74.1638
489,Burger King,29.7327,-95.4464
490,Burger King,39.7399,-104.96799999999999
491,Burger King,42.8349,-78.8241
492,Burger King,42.7345,-78.8385
